X,GeneID,MajorityProteinIDs,U1,S1,B1,U2,S2,B2,U3,S3,B3,U4,S4,B4,U5,S5,B5,U6,S6,B6,U7,S7,B7,U8,S8,B8,U9,S9,B9,U10,S10,B10,U11,S11,B11,C1,C2,C3,C4,C5
4586,MRPL44,Q9H9J2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4587,COPS7B,Q9H9Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8261.9,0,0,56486,0,0,25324,0,0,7440.1,0,0,8587.2,0,0,0,0,0,0,0
4588,CAB39L,Q9H9S4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4589,POLR1B,Q9H9Y6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4590,FN3KRP,Q9HA64,0,0,0,0,0,0,41340,32807,0,19633,0,0,0,0,0,156030,39220,0,11707,0,0,33284,29291,0,19152,0,0,0,0,0,13013,6527.7,0,0,0,0,59481,0
4591,CALHM2,Q9HA72,114670,0,0,0,0,0,155430,0,0,218200,0,0,0,0,0,0,0,0,36631,0,0,0,0,0,247620,0,0,0,0,0,26355,0,0,0,0,0,0,0
4592,PPCS,Q9HAB8,0,0,0,0,0,0,0,0,0,18054,0,0,55883,0,0,0,0,0,14402,0,0,55601,0,0,16199,0,0,0,0,0,0,0,0,0,0,0,54930,0
4593,C17orf75,Q9HAS0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4594,SLC28A3,Q9HAS3,237000,43839,0,217490,70990,0,1888400,389900,0,487440,227870,0,172810,66606,0,165030,938450,0,1185500,671970,0,136450,0,0,745380,0,0,211980,38928,0,664630,181630,0,1038.4,172050,0,7109200,0
4595,PLEKHA5,Q9HAU0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4596,UPF2,Q9HAU5,0,0,0,0,0,0,0,0,0,0,0,0,181170,0,51200,45918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231370
4597,GNB4,Q9HAV0,1480400,144340,0,823660,76298,0,2831500,136190,0,2948900,366110,0,1264000,0,0,531580,486320,0,1890000,0,0,1673400,0,0,7188400,61556,0,845780,69635,0,844290,48297,0,389040,157510,604870,227360,0
4598,XPO5,Q9HAV4,0,0,0,0,0,0,0,0,0,0,0,0,30608,0,0,7877.1,0,0,0,157920,0,36812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4599,GRPEL1,Q9HAV7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600,MYG1,Q9HB07,0,0,0,0,0,0,0,0,0,2860.4,0,0,22009,0,0,0,0,0,30177,0,0,190040,0,0,86938,0,0,22881,0,0,52588,0,0,0,0,0,40998,0
4601,SCPEP1,Q9HB40,0,0,0,0,0,0,0,14920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4602,CACYBP,Q9HB71,32523,0,0,72281,0,0,61407,0,0,21443,0,0,484030,0,0,0,0,0,10609,0,0,125710,0,0,67538,0,0,0,0,0,9557.9,0,0,11991,0,0,84771,0
4603,RRAGC,Q9HB90,0,0,0,10850,0,0,114220,0,0,102350,0,0,182160,0,0,107360,0,0,47053,0,0,209440,0,0,20389,0,0,0,0,0,0,0,0,0,0,0,0,0
4604,TRPV4,Q9HBA0,0,0,0,0,0,0,0,0,0,0,10279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4605,IFT122,Q9HBG6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395850,0
4606,RHOF,Q9HBH0,0,0,0,0,51763,0,65580,0,0,114330,339370,0,0,0,0,0,0,0,93402,0,0,22036,0,0,1177700,126540,0,30428,0,0,131580,0,0,18700,0,22527,994810,0
4607,RDH14,Q9HBH5,218060,23012,0,114580,0,0,174120,0,0,102120,0,0,135820,0,0,197460,0,0,9185.7,0,0,0,0,0,66994,0,0,0,0,0,7399.6,0,0,0,0,0,84384,0
4608,PARVG,Q9HBI0,0,0,0,201690,0,0,0,0,0,35585,0,0,0,0,0,90106,0,0,24256,0,0,84245,0,0,348600,0,0,13723,0,0,30511,0,0,0,0,0,0,0
